scenario,year,DA,motor
healthy,2.423076923076923,0.9878759848200973,0.05461986289660323
healthy,2.442307692307692,0.9877803527787856,0.05461986495197486
healthy,2.4615384615384612,0.987684729995202,0.05461986705601398
healthy,2.4807692307692304,0.9875891164684502,0.05461986920947486
healthy,2.5,0.9874935121976345,0.054619871413117214
healthy,2.519230769230769,0.9873979171818582,0.054619873667706174
healthy,2.5384615384615383,0.9873023314202262,0.05461987597401284
healthy,2.557692307692308,0.9872067549118421,0.05461987833281335
healthy,2.5769230769230766,0.9871111876558101,0.05461988074488964
healthy,2.596153846153846,0.9870156296512347,0.054619883211029015
healthy,2.615384615384615,0.9869200808972203,0.054619885732024566
healthy,2.6346153846153846,0.9868245413928716,0.05461988830867455
healthy,2.6538461538461537,0.9867290111372928,0.054619890941782996
healthy,2.673076923076923,0.9866334901295912,0.054619893632158294
healthy,2.692307692307692,0.9865379783688684,0.05461989638061838
healthy,2.7115384615384612,0.9864424758542282,0.05461989918798054
healthy,2.7307692307692304,0.9863469825847786,0.05461990205507082
healthy,2.75,0.9862514985596244,0.05461990498272355
healthy,2.769230769230769,0.9861560237778668,0.054619907971772526
healthy,2.7884615384615383,0.9860605582386139,0.054619911023061095
healthy,2.8076923076923075,0.9859651019409709,0.05461991413743697
healthy,2.8269230769230766,0.985869654884043,0.05461991731575337
healthy,2.846153846153846,0.9857742170669357,0.05461992055886907
healthy,2.865384615384615,0.9856787884887545,0.05461992386764808
healthy,2.8846153846153846,0.9855833691486053,0.05461992724295996
healthy,2.9038461538461537,0.9854879590455933,0.054619930685679656
healthy,2.923076923076923,0.9853925581788248,0.054619934196687696
healthy,2.942307692307692,0.9852971665474094,0.05461993777686956
healthy,2.9615384615384612,0.9852017841504452,0.054619941427117194
healthy,2.9807692307692304,0.985106410987042,0.05461994514832668
healthy,3.0,0.9850110470563058,0.05461994894140013
healthy,3.019230769230769,0.9849156923573436,0.05461995280724518
healthy,3.0384615384615383,0.9848203468892609,0.05461995674677456
healthy,3.0576923076923075,0.9847250106511646,0.05461996076090659
healthy,3.0769230769230766,0.984629683642161,0.05461996485056485
healthy,3.096153846153846,0.9845343658613566,0.05461996901667837
healthy,3.115384615384615,0.9844390573078582,0.054619973260181455
healthy,3.1346153846153846,0.9843437579807723,0.05461997758201391
healthy,3.1538461538461537,0.9842484678792062,0.05461998198312081
healthy,3.173076923076923,0.9841531870022663,0.054619986464452645
healthy,3.192307692307692,0.98405791534906,0.05461999102696514
healthy,3.2115384615384612,0.9839626529186943,0.05461999567161953
healthy,3.2307692307692304,0.9838673997102761,0.054620000399382196
healthy,3.2499999999999996,0.983772155722913,0.054620005211225
healthy,3.269230769230769,0.9836769209557124,0.0546200101081251
