id,onset_years,diagnosis_DA,arm,DA_18mo,motor_18mo,loss_mito,loss_inflam,loss_proteo
9,11.391912424095668,0.6784151711506781,placebo,0.6473280178321853,0.12440823548243236,0.003627312720736721,0.020067245780233132,0.007392594817504416
9,11.391912424095668,0.6784151711506781,A_10,0.6545533916519516,0.1156253992463754,0.0029885093369624058,0.016330349728288795,0.004542920433503786
9,11.391912424095668,0.6784151711506781,A_30,0.6575335495775176,0.11218125906374705,0.002749457212555385,0.014634394417808444,0.0034977699428367162
9,11.391912424095668,0.6784151711506781,A_60,0.6587965594779153,0.1108136858733699,0.0026514807677485534,0.01388709477664821,0.003080036128387162
9,11.391912424095668,0.6784151711506781,B_10,0.651694522860095,0.11906822264154,0.0032298995717262224,0.0178697027079824,0.005621046010876706
9,11.391912424095668,0.6784151711506781,B_30,0.6550580494524447,0.11502805583212265,0.0029471900991840795,0.016049802659087824,0.0043601289399754165
9,11.391912424095668,0.6784151711506781,B_60,0.6569751228015344,0.11280799817449312,0.0027933790168584555,0.01495939861126524,0.0036872707210576726
10,2.5593103878738113,0.6089011529815138,placebo,0.4941570420920568,0.22370783608031683,0.10839572677597589,0.0036108022335599524,0.0027375818799230526
10,2.5593103878738113,0.6089011529815138,A_10,0.498653962405788,0.2160556929995956,0.10533911229907224,0.003043013524898527,0.0018650647517479224
10,2.5593103878738113,0.6089011529815138,A_30,0.5014117426647889,0.21140338451420893,0.10340691618193903,0.002675338066740861,0.0014071560680374772
10,2.5593103878738113,0.6089011529815138,A_60,0.5027934465581784,0.2091275686858443,0.1024241150418234,0.002485590505487511,0.0011980008760739823
10,2.5593103878738113,0.6089011529815138,B_10,0.49656824738069083,0.21960775138795172,0.10677186274716585,0.003311307380359676,0.00224973547329298
10,2.5593103878738113,0.6089011529815138,B_30,0.49907508858240696,0.21534019458365347,0.10504676417177275,0.002987815254952529,0.001791484972376122
10,2.5593103878738113,0.6089011529815138,B_60,0.5008430033632494,0.21235423306220522,0.10380873153707156,0.0027523612848743147,0.0014970567963135944
11,1.3506614714849055,0.5366997819842018,placebo,0.3605436588813589,0.41463628687467863,0.11618479544901739,0.021106384294977586,0.038864943358846535
11,1.3506614714849055,0.5366997819842018,A_10,0.4113564880190996,0.3420056843376082,0.08249821435881662,0.016021037765467726,0.026824041840818682
11,1.3506614714849055,0.5366997819842018,A_30,0.42806010013056073,0.31940033877775176,0.07241476683688546,0.014387434850857344,0.0218374801659012
11,1.3506614714849055,0.5366997819842018,A_60,0.434670763795838,0.31069764887395795,0.06853757998858208,0.013720157896685937,0.01977128030309501
11,1.3506614714849055,0.5366997819842018,B_10,0.3934500656957088,0.3669750752976367,0.0938352213329825,0.017733836017458753,0.03168065893805126
11,1.3506614714849055,0.5366997819842018,B_30,0.4143103786625264,0.33795417787985954,0.08068268258925129,0.015736324843049126,0.025970395889379175
11,1.3506614714849055,0.5366997819842018,B_60,0.42505706137062466,0.32340521874099487,0.07419613492560406,0.014686092054555823,0.02276049363342043
12,1.9396361172735002,0.5821320792396695,placebo,0.4416707144786749,0.30274879551790684,0.11174163119749198,0.007913222918549491,0.02080651064496136
12,1.9396361172735002,0.5821320792396695,A_10,0.4576145269011121,0.28090001960830624,0.10174611902088314,0.0069995572564184524,0.015771876061255276
12,1.9396361172735002,0.5821320792396695,A_30,0.4700514881673486,0.26406344240478224,0.09406420309230464,0.006192132379881644,0.011824255600140537
12,1.9396361172735002,0.5821320792396695,A_60,0.4770546277728294,0.2546960601868872,0.08973854542056411,0.005689870085998433,0.009649035960280621
12,1.9396361172735002,0.5821320792396695,B_10,0.4495908522483555,0.2918610357342373,0.10674329717006092,0.007473751801797465,0.01832417801945428
12,1.9396361172735002,0.5821320792396695,B_30,0.45937707421508595,0.27850189611438686,0.10065447271725407,0.006890890991915181,0.01520964131542243
12,1.9396361172735002,0.5821320792396695,B_60,0.46731444969673724,0.26775017660594164,0.09575253885133708,0.006378455068114657,0.012686635623485215
13,2.304136238296069,0.5993728582806097,placebo,0.4750694339410345,0.27687361364717783,0.03572043566041605,0.032461360820218145,0.0561216278589455
13,2.304136238296069,0.5993728582806097,A_10,0.5080405214354522,0.2355984596477078,0.022302918042387584,0.026469384084187815,0.042560034718568576
13,2.304136238296069,0.5993728582806097,A_30,0.5253914304654967,0.21551144450054494,0.017573685132752793,0.02312136420747867,0.03328637847488549
13,2.304136238296069,0.5993728582806097,A_60,0.5333819365251662,0.20672166199841954,0.01572879314979013,0.021511551259846398,0.028750577345806952
13,2.304136238296069,0.5993728582806097,B_10,0.4935975136353532,0.25322566910605293,0.027308264335515645,0.02915194589599662,0.049315134413740705
13,2.304136238296069,0.5993728582806097,B_30,0.5108141058411115,0.2323038861684178,0.021465867262432728,0.025944757282859433,0.04114812789421548
13,2.304136238296069,0.5993728582806097,B_60,0.5219682236628432,0.21937207191500643,0.018420119610939634,0.023795977291157476,0.035188537715667684
14,23.49483155637036,0.6894518097342012,placebo,0.673951317684789,0.11084381190591869,0.004642794420788839,0.005752151710128615,0.005105545918493963
14,23.49483155637036,0.6894518097342012,A_10,0.6759493163656299,0.10739033611812804,0.00431558254190097,0.005189807494821043,0.003997103331836089
14,23.49483155637036,0.6894518097342012,A_30,0.6773524512885044,0.10494963493038417,0.0040879719147705875,0.004758401324719293,0.0032529852062229358
14,23.49483155637036,0.6894518097342012,A_60,0.6781039300684037,0.1036750877555021,0.00396627559063027,0.004513600847440514,0.0028680032277168268
14,23.49483155637036,0.6894518097342012,B_10,0.6749780576798843,0.10907957456731394,0.004473979582522913,0.0054702642861164585,0.004529508185641095
14,23.49483155637036,0.6894518097342012,B_30,0.67615489831881,0.10703150409107848,0.004282167929485648,0.005128601416035689,0.003886142069857036
14,23.49483155637036,0.6894518097342012,B_60,0.6770522524011313,0.10546833403222279,0.004136602967672596,0.004853451880384936,0.0034095024850286796
15,0.9847681879221123,0.48624893932659,placebo,0.281759576284248,0.5512001149608333,0.12097357948767509,0.047394272725495526,0.036121510829171324
15,0.9847681879221123,0.48624893932659,A_10,0.28292371421104195,0.5462533652884946,0.12113821387054673,0.04601288413736038,0.036174127107645684
