scenario,day,CL_n,CL_ox,CL_ext,ALCAT1,TAZ,aSyn_mono,aSyn_olig,aSyn_ext,CI_activity,SC_integrity,dpsi,ATP,mPTP_open,mROS,SOD2_act,GPx4_act,PINK1_act,mito_damage,DA_neuron,MG_active,TNF,IL1b,Motor_score,D_mito,D_inflam,D_proteo
healthy,48.5,0.907788566735442,0.05483583659751819,0.0019424333375351293,0.10624475794935336,0.8936792830593563,0.9488443531041058,0.055324215676480056,0.0027662107838240016,0.9478332343743513,0.9706824976756268,0.9587311669340124,0.9434762263857946,0.019207165151719212,0.1069871007805507,0.8237407341227327,0.6514931718351571,0.20205733777804818,0.0664609308029475,0.9889207942341153,0.12767155962429227,0.20340504148493385,0.1607269490484364,0.05461984067405757,0.0040269469782248605,0.006041534134773638,0.0010107246528863556
healthy,49.0,0.9077885667354416,0.05483583659751817,0.0019424333375351289,0.10624475794935338,0.8936792830593563,0.9488443531041058,0.05532421567648006,0.002766210783824002,0.9478332343743513,0.9706824976756268,0.9587311669340124,0.9434762263857945,0.019207165151719226,0.10698710078055072,0.8237407341227327,0.6514931718351571,0.2020573377780482,0.0664609308029475,0.988807217216198,0.12767155962429233,0.20340504148493385,0.16072694904843643,0.05461984245657718,0.004068228694510497,0.006103468125817042,0.00102108596347449
healthy,49.5,0.9077885667354413,0.05483583659751816,0.001942433337535128,0.10624475794935337,0.8936792830593563,0.9488443531041058,0.055324215676480056,0.0027662107838240025,0.9478332343743513,0.9706824976756268,0.9587311669340124,0.9434762263857945,0.019207165151719222,0.10698710078055071,0.8237407341227327,0.6514931718351571,0.20205733777804818,0.0664609308029475,0.98869365324254,0.12767155962429236,0.20340504148493385,0.16072694904843643,0.054619844294921234,0.004109505669613341,0.006165395003775064,0.001031446084071706
healthy,50.0,0.907788566735441,0.05483583659751814,0.0019424333375351274,0.10624475794935334,0.8936792830593563,0.9488443531041058,0.05532421567648005,0.0027662107838240025,0.9478332343743513,0.9706824976756268,0.9587311669340124,0.9434762263857946,0.019207165151719215,0.1069871007805507,0.8237407341227327,0.6514931718351571,0.20205733777804813,0.06646093080294749,0.9885801023116426,0.12767155962429233,0.20340504148493388,0.16072694904843643,0.05461984619021737,0.0041507779040780126,0.006227314769464787,0.001041805014814698
disease,0.0,0.907788566755719,0.05483583659888906,0.0019424333375859507,0.10624475794935453,0.8936792830593551,0.9488443531040935,0.05532421567651024,0.0027662107838256306,0.9478332343743369,0.9706824976755449,0.9587311669340081,0.9434762263857877,0.019207165151719992,0.10698710078055201,0.823740734122731,0.6514931718351542,0.2020573377794273,0.06646093080292503,1.0,0.1276715596243397,0.20340504148499772,0.16072694904848975,0.054619798580026115,0.0,0.0,0.0
disease,0.5,0.8983175579646604,0.06411696330953315,0.002002594153567679,0.11714200486195378,0.8825525917541537,0.9490280809309769,0.1323987420384333,0.004519059167305425,0.8191742024104594,0.969034840425657,0.949528249509463,0.9230772752473012,0.026486941589479257,0.12194743289504628,0.8066208942751631,0.626493432614776,0.2243441191553496,0.0859055185825865,0.9997447043101831,0.15445455826338733,0.21601993825743593,0.17087590148873477,0.05511144526566804,6.666250144634776e-05,6.696697605793093e-05,0.00012166621231211334
disease,1.0,0.8814699881694236,0.08017972476194497,0.0021362381266865267,0.12860755687395475,0.8711400290334355,0.9480713175671501,0.17698151395650347,0.0069702538634240085,0.7307254360674181,0.9629973381807699,0.9373659728783853,0.8932643726546137,0.03617766826725893,0.13465214970900263,0.7896635117360498,0.6010454020629582,0.25937893571253423,0.1129553979870388,0.9989262926747895,0.20063965248238863,0.25843470420079606,0.20596802754450116,0.05915320545748716,0.00027945268631870247,0.00018038200856812048,0.0006138726303229931
disease,1.5,0.8654021531844964,0.09490217711891843,0.0022730191682175872,0.13652617636268155,0.8632693751444669,0.947006431144627,0.20865660473982164,0.008969102740837764,0.6696112329628763,0.9550627521526677,0.9258986735896304,0.8648511753678908,0.04430613347360896,0.14355628913652058,0.7781497043336993,0.5843214322838374,0.29124179810291556,0.13708426128399145,0.9973633366373816,0.23783521782997497,0.3013877095586475,0.24292462517545937,0.06696680492114535,0.0007851370070517708,0.00039960081159752915,0.0014519255439684653
disease,2.0,0.851843573125786,0.10671578747527209,0.0023863659897196093,0.1419582824625764,0.8578686611070055,0.9461331032118193,0.23349048112054024,0.010525854652543926,0.6265244181504299,0.9473910846959147,0.9158982197264496,0.8401553210697933,0.050682140419803685,0.1497762919307328,0.7703259974860519,0.573236218513526,0.3175253085158809,0.15711190892766755,0.995036492049788,0.2639659283041585,0.3320368357444966,0.27027102235316836,0.0758751097000332,0.0016934158107857335,0.0007423942408818738,0.0025276978985436364
disease,2.5,0.8407173455109506,0.1158476584494867,0.0024720111702599924,0.1457889581799291,0.8540575973601799,0.9454667098965759,0.25368257609867567,0.011761523047051737,0.5951286783674788,0.940819947397374,0.9074506806715873,0.8194505248942734,0.05562729912382,0.15423690852949806,0.7648398385002155,0.5655989318438628,0.3385085099505168,0.17339239809973445,0.9920118044948979,0.2824634344099921,0.3522562588871806,0.28875372247878567,0.08393095751503984,0.0030420197969344503,0.0011878954757678153,0.0037582802323987727
disease,3.0,0.8315653200533126,0.12286998254559656,0.002533867540058082,0.1485958431162002,0.851263075877591,0.9449636946877445,0.27033091857555747,0.012762795734954036,0.5714579633454371,0.9354666618599902,0.9003655146631246,0.8022218422467908,0.05951370604569189,0.15755212874401447,0.7608340849445775,0.560093264010494,0.3552231169441042,0.186665617709566,0.9883886419211597,0.2961229321485838,0.36596764038398505,0.30143889425236,0.09047928479761726,0.004813121724128435,0.0017086571695116657,0.005089579185199104
disease,3.5,0.8239412790888783,0.1283098122071528,0.002577578159489373,0.1507286345455754,0.8491383760034203,0.9445800130431741,0.28416655779200095,0.013585561570645522,0.5530818284916367,0.9311791291613704,0.8944041507265516,0.7878291045675351,0.0626287473709796,0.16009971606318443,0.7577977705387591,0.5559592726050657,0.36867011627437335,0.19760453512581708,0.9842667012562081,0.30660649515958244,0.3757764343503769,0.3105584946690085,0.09556162740868676,0.006962394984256956,0.002283731160093703,0.006487172599440074
disease,4.0,0.817495001618736,0.13257306430429075,0.002608162205147307,0.15239769559986702,0.8474748606495154,0.9442823058503483,0.29574256976292923,0.014268230542073407,0.5384813169536518,0.9277473370644359,0.8893584172153816,0.7757226658260462,0.06517098231185692,0.1621107954427403,0.7554260510932709,0.5527531695252608,0.37962722831725715,0.20672169947062344,0.9797342939288904,0.31488077145213517,0.3831278426975453,0.317408705581663,0.09944500421031847,0.009438059692216802,0.002898735782605257,0.007928910596286509
disease,4.5,0.8119687423048443,0.13595525962547075,0.0026294635529371343,0.15373363095036022,0.8461428920806453,0.9440471722818204,0.30549120414435055,0.014839074110609942,0.5266692379829739,0.92498097964233,0.8850623723141027,0.7654709370245967,0.06727577914913328,0.16373134914880338,0.75353053454969,0.550204999210749,0.3886632696885986,0.21439293091578365,0.9748662491739334,0.32154321263051244,0.3888273878584844,0.32272757889447984,0.10241270724818344,0.012189898810838533,0.003543674995323203,0.009400177019904003
disease,5.0,0.8071753254087412,0.13866878516241046,0.0026442446501488866,0.15482144479149423,0.8450580163348373,0.9438584412388729,0.3137518972051033,0.015319707225906195,0.5169758380985355,0.9227285130616676,0.881385593698952,0.7567389911593873,0.0690378682523627,0.16505793038427402,0.7519889673302218,0.5481417725328234,0.3961923821204545,0.2208970125789601,0.9697248792685603,0.32698953529318847,0.39335494459425013,0.32695806052636517,0.1046994313914422,0.015172748785636585,0.004211336863944907,0.010891035081857448
disease,5.5,0.8029775977472785,0.14086719063654257,0.0026544377227436283,0.15571914885168028,0.844162548473307,0.9437048324475431,0.32079175335281196,0.015726937850636176,0.5089289747633876,0.9208750556316682,0.8782246706721111,0.7492640688717311,0.07052597986092277,0.16615735774929127,0.7507181091983783,0.5464469270191212,0.40252064158603273,0.22644593557394407,0.9643616977405287,0.3314959054858961,0.397017658791361,0.3303842210266979,0.10648314886417157,0.018347434646466147,0.004896342333139168,0.012394525279865058
disease,6.0,0.7992731597666959,0.14266304644175293,0.002661382929353894,0.15646796037538108,0.8434154756399237,0.9435783273743161,0.326821973296168,0.0160739523605982,0.5021852174710917,0.9193348129872871,0.8754965734340547,0.7428371149724304,0.07179162932076998,0.16707765752492756,0.749658939925772,0.54503853744492,0.4078786874023868,0.23120468573477132,0.9588191829798206,0.33526205951492666,0.4000235235754596,0.3331986212446408,0.10789408817564002,0.021680602061468147,0.005594577323875981,0.013905637634834229
disease,6.5,0.79598385401483,0.14414025197958186,0.002666011450685458,0.1570981113544383,0.8427867000086116,0.9434731025421655,0.3320107840895427,0.016371172403555723,0.49648840073855105,0.9180435955122224,0.8731339036959657,0.7372898130337369,0.07287442322571466,0.1678543910773067,0.7487682515694053,0.5438570708370536,0.4124435412168766,0.23530399945064176,0.95313237172208,0.3384362006397156,0.4025192405123512,0.3355372493371033,0.10902637629135953,0.02514411737082693,0.00630283412341823,0.015420676783673735
disease,7.0,0.7930486937688137,0.14536236979762998,0.002668975127338369,0.1576323360828736,0.8422535789303984,0.9433848394354802,0.33649334630957917,0.01662690001639654,0.49164348559225957,0.9169528954932373,0.8710814635432591,0.7324853477266858,0.07380540587318173,0.16851451095241216,0.7480136081799426,0.5428581177515938,0.416353284921075,0.23884890873509254,0.9473302221046069,0.3411305447250274,0.40461146419126537,0.3374991174636275,0.10994804015542341,0.028714346204022377,0.007018572618534951,0.016936859072834563
disease,7.5,0.7904190994714206,0.14637828969413522,0.002670735023746039,0.15808807689572033,0.8417987346534711,0.9433102736992727,0.3403792340126397,0.016847805691436322,0.4874993806520627,0.9160255607979957,0.8692937042888849,0.7283116094248405,0.07460928132094016,0.16907883323534553,0.7473701626019166,0.5420078430132055,0.4197171557088439,0.24192471303676452,0.9414367444050834,0.3434315436884421,0.40637963024671697,0.33915807884221466,0.11070860090672256,0.03237145086910303,0.007739755080933327,0.018452049644879204
disease,8.0,0.7880556492926852,0.14722612913719035,0.0026716210792501202,0.15847894125934442,0.8414086063552443,0.9432468952363491,0.343758060397682,0.017039296495910496,0.48393727516299834,0.9152327279979392,0.8677327841363655,0.7246760667689037,0.07530595461296904,0.16956369017079523,0.7468185571609335,0.5412800102141752,0.4226226526119404,0.24460133383075658,0.9354719220187289,0.34540682961579605,0.40788411589236756,0.3405703446395606,0.11134454748739417,0.03609876305448189,0.008464728687870274,0.01996458623891806
disease,8.5,0.7859258223945478,0.14793596621394992,0.0026718722037478554,0.15881569834193388,0.841072459237449,0.9431927443374604,0.3467037228671213,0.017205793533638672,0.4808625025101281,0.9145516611934678,0.866367065746721,0.7215018324519406,0.07591163667870754,0.16998207175379298,0.7463434904117242,0.5406539653716924,0.4251406437563201,0.24693655254363966,0.9294524540709301,0.34711004382006905,0.4091716292527035,0.34177945334683046,0.11188318819405306,0.03988224770581831,0.009192140152640894,0.021473158070609632
disease,9.0,0.7840024023702789,0.148531787559056,0.0026716633267297725,0.15910697861057754,0.8407816885909136,0.9431462702511747,0.3492776264948489,0.017350941572029724,0.47819874710440985,0.9139642213098765,0.8651699437429282,0.7187246159727818,0.07643965465590231,0.1703444339116934,0.745932712766949,0.5401132333042863,0.427329098556905,0.24897847220289815,0.9233923511965998,0.3485842578132353,0.41027886721765144,0.3428196486359189,0.11234532980324442,0.04371005552874093,0.009920872579359466,0.022976720695298793
disease,9.5,0.7822623239950248,0.14903290301512961,0.0026711238394177533,0.1593597764599337,0.8405293196183221,0.9431062309125775,0.35153115699327075,0.017477768604556985,0.47588383695538194,0.913455767204759,0.8641189196626385,0.7162903376055594,0.07690105824312857,0.17065928337366407,0.7455763061458247,0.5396445169043568,0.42923586253543966,0.25076741129430014,0.9173034137175168,0.3498644411505557,0.4112350605392853,0.34371823342031066,0.1127471390997028,0.04757215360216632,0.010649997907579374,0.024474434772736534
